,post_time,id,post_view,post_reply,post_symph,post_title
23,2019-01-30 04:50:53,13110577,2048,1,0, 넷플릭스 모바일 디바이스 화질 이슈 
23,2019-01-30 04:54:19,13110578,2235,0,0, 스카이캐슬 쓰앵님의 과거 심정편(Feat. 뇌피셜 첨가) 
23,2019-01-31 04:04:07,13114972,3550,18,0, 페이스북 iOS 개발자 인증서 취소당해 
23,2019-01-31 04:12:24,13114977,772,1,0, 명절 연휴 
23,2019-01-31 04:14:12,13114978,1845,2,2, 나를 돌아보게하는 상황이네요. 
23,2019-01-31 04:25:30,13114982,6931,29,1," 뻘) 8년 전, 'SSD 가격이 HDD만큼 떨어질까?' 라는 글에 대한 제 댓글 "
23,2019-01-31 04:39:55,13114983,858,3,0, 바르셀로나vs세비야 보시는분 계시나요? 
23,2019-01-31 04:44:56,13114986,1651,6,0, 스파이더맨 갓오브워 등 인기 타이틀 구하기가 쉽지않군요.. 
23,2019-02-01 04:06:54,13118478,3128,4,1, 하와와 남대생쟝 술 마시는 것이에요 
23,2019-02-01 04:12:06,13118481,834,3,0, 하아 아주 오랬만에 카메라 장비병이 도졌네요. 
23,2019-02-01 04:14:44,13118482,1163,1,0, 맥용 지니 플레이어가 나오는 모양이네요. 
23,2019-01-24 05:19:13,13087794,2809,10,0, 현금호송 3일차 나갑니다. 
23,2019-01-24 05:26:29,13087795,4945,28,7, 금일 노가다 대마찌 취소+출근 
23,2019-01-24 05:30:26,13087798,1406,9,0, 애더럴은 복용하면 어떤 느낌인가 궁금하네요 
23,2019-01-24 05:35:10,13087800,4984,12,1, 그랜드캐년 사건은 안타깝네요. 
23,2019-01-24 05:37:54,13087802,4317,7,0, 남자친구 이별 장면을 보니 
23,2019-01-24 05:42:21,13087803,1697,3,0, 으아... 집에가기 귀찮아서 학교에서 밤 샜는데... 
23,2019-01-24 05:48:24,13087804,12006,16,0, 이정도면 쿠팡 미친거 아닌가요?? 
23,2019-01-24 05:59:01,13087805,1635,9,0, 서피스 아크 마우스는 기대보다 좋네요. 
23,2019-01-25 05:07:28,13092283,4638,4,16, 딱 한명씩 작업하는 거 같네요 
23,2019-01-25 05:17:07,13092291,4100,18,3, 플스4 게임들 너무 재미있네요 ( feat. 호라이즌 제로 던) 
23,2019-01-25 05:29:56,13092298,3970,2,0, 와 새벽2시30분에 잤는데 옆집 웃음소리때문에 잠을깼네요 
23,2019-01-25 05:35:21,13092301,5274,2,0, 베트남 대진운이 별로네요... 
23,2019-01-25 05:44:27,13092304,23433,142,148, 아버지랑 어머니가 오늘 동시에 수술을 하세요.. 
23,2019-01-25 05:58:19,13092305,2883,0,0, 이란 VS 중국 
23,2019-01-27 05:05:41,13100181,4122,16,1, 빌라는 주차가 문제네요 
23,2019-01-27 05:15:47,13100184,42423,118,4, 미국 대박 밥집 
